0.39, 0.63, 0.63, 20, 0.004139198804277876, BAT SlipP = 0.05, Floor = 1/4
0.83, 0.85, 0.82, 20, 0.032316250077559165, BAT SlipP = 0.05, Floor = 1/4
2.41, 3.13, 2.75, 20, 0.12313813723494058, BAT SlipP = 0.05, Floor = 1/4
3.29, 3.77, 4.67, 20, 0.2372956765398338, BAT SlipP = 0.05, Floor = 1/4
0.60, 0.83, 0.87, 20, 0.05412962356878966, BAT SlipP = 0.05, Floor = 1/4
1.85, 2.36, 2.31, 20, 0.020395811159533126, BAT SlipP = 0.05, Floor = 1/4
1.68, 2.09, 2.04, 20, 0.025074315462643427, BAT SlipP = 0.05, Floor = 1/4
1.03, 1.63, 2.18, 20, 0.33219656538624326, BAT SlipP = 0.05, Floor = 1/4
2.07, 2.78, 3.52, 20, 0.2660109536835441, BAT SlipP = 0.05, Floor = 1/4
1.33, 1.74, 1.58, 20, 0.09003791267653574, BAT SlipP = 0.05, Floor = 1/4
0.41, 0.59, 0.60, 20, 0.0147029185247678, BAT SlipP = 0.05, Floor = 1/4
2.47, 3.53, 3.30, 20, 0.06317017362723285, BAT SlipP = 0.05, Floor = 1/4
0.44, 0.69, 0.72, 20, 0.04849141317409374, BAT SlipP = 0.05, Floor = 1/4
0.85, 1.36, 1.22, 20, 0.10284620516469252, BAT SlipP = 0.05, Floor = 1/4
2.37, 2.72, 2.70, 20, 0.0072941203327923365, BAT SlipP = 0.05, Floor = 1/4
1.09, 1.69, 1.15, 20, 0.32198742795402097, BAT SlipP = 0.05, Floor = 1/4
5.44, 8.08, 7.91, 20, 0.020861236481049827, BAT SlipP = 0.05, Floor = 1/4
1.31, 1.55, 1.52, 20, 0.019368357567427063, BAT SlipP = 0.05, Floor = 1/4
3.84, 4.05, 3.95, 20, 0.023641188457015433, BAT SlipP = 0.05, Floor = 1/4
0.35, 0.52, 0.79, 20, 0.5195706555351697, BAT SlipP = 0.05, Floor = 1/4
0.80, 1.16, 1.29, 20, 0.11310039820195668, BAT SlipP = 0.05, Floor = 1/4
0.98, 1.43, 1.37, 20, 0.04276478259892898, BAT SlipP = 0.05, Floor = 1/4
0.49, 0.73, 0.77, 20, 0.04426602983756006, BAT SlipP = 0.05, Floor = 1/4
1.06, 1.40, 1.22, 20, 0.12615026352296999, BAT SlipP = 0.05, Floor = 1/4
0.45, 0.66, 2.64, 20, 2.9998338432949234, BAT SlipP = 0.05, Floor = 1/4
1.31, 1.71, 1.78, 20, 0.04207390644241171, BAT SlipP = 0.05, Floor = 1/4
0.41, 0.54, 0.60, 20, 0.12362257503889036, BAT SlipP = 0.05, Floor = 1/4
5.42, 5.65, 1.98, 20, 0.6490384944101844, BAT SlipP = 0.05, Floor = 1/4
0.54, 0.72, 0.70, 20, 0.02397538703429311, BAT SlipP = 0.05, Floor = 1/4
2.70, 4.19, 3.52, 20, 0.16161733852523705, BAT SlipP = 0.05, Floor = 1/4
4.63, 7.34, 8.28, 20, 0.1273582177801878, BAT SlipP = 0.05, Floor = 1/4
2.67, 3.61, 3.62, 20, 0.004750831776788917, BAT SlipP = 0.05, Floor = 1/4
0.66, 0.90, 0.82, 20, 0.08831170341513302, BAT SlipP = 0.05, Floor = 1/4
0.73, 1.02, 1.04, 20, 0.02444717770729517, BAT SlipP = 0.05, Floor = 1/4
0.38, 0.60, 0.69, 20, 0.14734298000771662, BAT SlipP = 0.05, Floor = 1/4
4.93, 6.94, 6.73, 20, 0.03039507999299747, BAT SlipP = 0.05, Floor = 1/4
0.47, 0.72, 0.70, 20, 0.028660408813457938, BAT SlipP = 0.05, Floor = 1/4
0.59, 0.70, 0.77, 20, 0.10773418787884524, BAT SlipP = 0.05, Floor = 1/4
1.12, 1.42, 1.51, 20, 0.06269703985249413, BAT SlipP = 0.05, Floor = 1/4
0.95, 1.36, 1.25, 20, 0.08089072580223153, BAT SlipP = 0.05, Floor = 1/4
1.50, 2.08, 2.31, 20, 0.11343650325785017, BAT SlipP = 0.05, Floor = 1/4
0.87, 1.17, 1.47, 20, 0.25984931761444996, BAT SlipP = 0.05, Floor = 1/4
